	013_LR	023_LR	025_LR	044_LR	054_LR	103_LR	172_LR	190_LR
KCNQ1OT1	-4.0208550573582995	-3.5146190724882693	-3.01817012224574	-3.13967571628352	-3.620915117914141	-4.20463460405173	-2.3510488804311507	-4.403352500145919
ZFAT	-5.8655823077154405	-6.380933912246159	-5.65098747444253	-5.157984000105801	-5.720529756347539	-5.62874050932989	-5.65360271378908	-5.922629450958911
MEG9	5.02435702712783	5.255379804815861	6.88543345237149	4.7701082040647	6.463680983383028	7.79284620710967	6.21958346802208	7.101261711102551
ENSG00000259536	-1.4338967767154203	-2.5687159927959597	-2.92058263534259	-2.6243333235565203	-2.18903132566452	-3.3510497000948796	-2.1931745604272597	-1.93222980399264
MEG8	3.6528678955061693	4.92405452868908	6.04068020688051	5.892451534093199	6.418015030152781	6.133209582337109	4.93208799161444	6.431175719751689
PLAGL1	-4.727418826504899	-6.053592457420749	-6.20729590021006	-3.7192658209695697	-7.657128038483479	-5.60278733010603	-6.17800353039227	-5.74590390975949
MEG3	9.13028485047138	6.82300768564815	3.8543657402134297	3.478436278552101	10.82680902811384	7.17113067733237	7.822239696543781	4.08912063567977
SNORD113-9	4.9799826116219	4.98909775419849	3.03632451421806	5.34164103898703	5.820914776201849	0.0	5.7397297694052405	4.84860788918378
IGF2-AS	0.0	-7.973980194061818	-7.56392976810844	-6.10864487448013	-6.609257800359459	0.0	-6.50019356604909	-5.561042183733469
MIR518A1	-5.11526911909318	-1.086090002099255	-5.7326379706165405	-2.46824894272543	-2.16149551368499	-2.62671300943091	-5.33743376122304	-4.96775831120958
SNORD114-2	4.06801906472943	3.7097239241999302	3.34606415888202	3.97178403498294	4.340925543584758	0.0	3.6217170005417003	4.0509223135321095
IGF2	-7.141357292140469	-4.98853737089788	-5.57929884609563	-3.7387817285864404	-6.170575873727	-6.729085243852779	-0.03928868397781993	-9.13812402291287
MIR526B	-5.34985954922792	1.9984014443252818e-15	-6.38462229563353	-6.2867553882525	-5.93574852201608	-5.33410018765716	0.0	-5.06766877015544
MIR1283-1	-6.83574228467124	1.9984014443252818e-15	-7.19272227480816	-7.14511938548926	-6.384006535315879	-6.95643890687443	0.0	-5.757958922109739
PEG10	-9.596242922437341	1.9984014443252818e-15	-10.191610664510542	1.090859429825704	-1.9984014443252818e-15	-11.02583466075166	-10.485810093609603	-9.03275109776396
PROSER2-AS1	-4.22382074705432	-3.8801479191221793	-3.99840928152922	-4.681943549668859	-4.70658226759792	-2.0388002979928794	-6.297650851579471	-5.220230342141809
MIR758	2.56775999612558	3.44451480626722	2.3014253151499102	2.7333639486227703	3.331408626916058	2.01862069161227	3.7374479737316	1.078943130024701
MIR495	3.30334048770832	3.29106008142318	2.78537644789666	0.0	3.751212431955088	3.19196774971631	3.9443047676169303	2.1168517600825
SNORD114-3	4.22835494569453	4.4510291327485305	3.03632451421806	3.97178403498294	4.696623111949559	1.012440459881391	3.5767098213788366	4.273900958196711
SNHG14	-2.3169881466321005	-3.489550090799	-0.3769879610707898	-5.29149398066207	-4.6909340778418	-1.08932735217621	-3.3194741556438196	-1.7612320648928401
SNORD114-27	3.88760993813989	3.82603669724495	2.48139010470566	0.0	2.963371989242828	3.34424425735778	3.9443047676169303	1.689288402995
THRAP3P3	-3.7000526631642203	-4.406918884306059	-5.0826055122742	-1.91972334247024	-5.69901929460102	-5.00249789154226	-2.649213803077183	-4.332553527249919
LINC01949	0.0	1.069385271377735	-3.8286827396167302	-9.611319904261647	-9.841018917345469	-8.297603169778661	-3.78542817927402	-1.6977339041940698
SNORD114-18	5.10920989411662	3.435637932071333	3.94560453233122	4.07211643669105	4.632155784526338	0.0	4.49768493741684	3.3830113676768905
MIR520G	-5.07217510770118	1.9984014443252818e-15	-4.3328747858248	-4.5649016445751105	-1.9984014443252818e-15	-4.21715205970237	-2.88643604918665	-3.3184095461739402
MIR518C	0.0	-5.162385064889999	-3.9040803968481836	-1.093174318307637	-5.1118621808574405	-4.80302530090641	-4.8960232213325305	-2.45623329282345
SNORD114-20	5.73460518392001	4.538470532554163	5.663737347018581	0.0	6.426148961870559	0.0	5.240801749510507	5.195593158006901
SNORD114-16	4.56516183696151	3.9030077520992332	3.1532225787322665	4.92506090102744	4.849080735734722	0.0	4.899626181887458	4.73266121711618
MIR519E	-2.34488586669607	-1.698644203989648	0.0	-4.75856299588374	-7.45817784803313	-6.64936409883924	0.0	-3.14627818744296
ZBTB46-AS1	-0.5265209963515098	-1.086090002099255	-1.90417404599026	-2.3598759344759204	-1.9984014443252818e-15	-1.40483354489814	-0.4637983211872001	-2.393232169181339
CYP24A1	-3.48549188013743	1.9984014443252818e-15	-2.49133397602302	-4.17004040194069	-3.65297733817171	-3.679407848788759	-4.770413433611223	-4.91508263512932
RNU6-698P	-8.83270816144849	1.9984014443252818e-15	-5.634882624124854	0.0	-6.33558620740759	-6.68667364051591	-5.79057732859447	-1.94556113380585
MIR543	4.8869165547587405	4.175076927509983	4.11874915371368	0.0	5.262920301714498	4.11079179298125	4.36986181395622	3.647267070997671
SNORD114-7	4.54151043174277	4.9590965193655006	5.90548760551276	5.12516611583158	5.5687281484568985	0.0	5.7397297694052405	5.0067317250159
MIR525	-3.02509144998127	1.9984014443252818e-15	-4.416565641266255	-5.79193405416091	-4.84750940297746	-4.50715551570439	0.0	-3.7378496630116502
LINC00523	-4.48678261763801	-2.9519370747690177	0.0	-1.093174318307637	-3.8660796403392688	-5.00256904563276	-4.47992362145338	-3.47217529920604
MEST	-6.289517324453529	-4.804853415508998	1.20777737096739	-7.603327842688239	-8.83270616817647	-4.25520627391902	-7.306326870436401	-1.6977339041940698
ENSG00000259995	-1.8422355084484718	-1.086090002099255	-3.2608578247102202	-4.2581321336417295	-3.51366142953885	-2.3620315765982203	-1.046655794411403	-2.95079139728991
MIR411	-0.024688231184215037	4.52172793417059	2.91629997820361	3.15543547109062	4.632155784526338	0.0	4.56189343136291	3.1354389661628
MIR515-2	-4.561882794049552	1.9984014443252818e-15	-4.3335311037905795	-4.545401526525656	-5.79240279103614	-5.21851795491875	0.0	-5.16110603191901
GLIS3	-3.12114501452943	-3.02459542669117	-3.14042397331397	-2.6424118943584802	-3.8646524781816396	-2.86421516101434	-3.91163613958494	-3.28191884571339
MRGPRE	4.609213339923807	3.7097239241999302	5.04731126940761	3.9845069295919733	3.751212431955088	0.0	4.7934736804669305	3.46105593750663
MIR526A2	-3.02509144998127	-4.481337582226558	-2.79573094662985	-2.7370694550301202	-1.9984014443252818e-15	-2.03762941027649	-2.06942981869967	-3.781467411564499
SNORD114-4	2.98193196213924	4.29830367612858	1.8558423142663698	1.090859429825704	1.7077379581847478	0.0	2.84175098439136	1.689288402995
MIR1193	0.989703131127078	2.92433441725399	2.48139010470566	0.0	3.1590945545497577	1.012440459881391	2.61841410747648	2.1168517600825
MIR515-1	-1.014391362311293	1.9984014443252818e-15	-2.3110819716837403	-5.90540685972649	-2.16149551368499	-2.03762941027649	0.0	-5.20564915272893
ENSG00000269842	-6.24368946233024	-6.01327987717866	-2.10504976407396	-6.176048505946446	-5.542473219526659	-3.36696702740856	1.77515082837546	-4.62606525632062
RTL1	3.0285730688968506	2.42101179374787	2.8393394535519008	3.98863104236726	3.22382117121907	2.6606096164653996	2.67189544028206	0.0
SNORD114-19	3.6096294899525767	3.93366770673583	4.00565811246258	3.48156757684464	1.093047166899709	0.0	3.03510399848944	1.689288402995
LINC02163	-1.60411925771855	-3.473372573544678	-0.731552725130059	-2.13759794302609	-2.99051335476106	-3.8538008877594203	0.0	-1.6977339041940698
MIR494	2.78965789061064	2.92433441725399	2.78537644789666	0.0	3.9756427451832477	2.34178166219238	1.61178554957919	0.0
MIR520A	-5.27582163557929	1.9984014443252818e-15	-1.214653519885393	-1.7079040334459301	-5.49189350709055	-5.50827277782121	0.0	0.0
MIR523	-6.29505878855331	1.9984014443252818e-15	-4.4244640154050705	-3.62460314659514	-7.01714243911385	-6.40691062617469	1.61178554957919	-1.085394146118509
MIR498	-3.93363939414607	1.9984014443252818e-15	-4.0746942030825	-5.84978579660397	-1.9984014443252818e-15	-1.0251950084701869	0.0	-3.7378496630116502
SNORD113-3	4.9799826116219	4.52172793417059	4.5802518916945605	0.0	-1.9984014443252818e-15	1.6015260553481099	0.0	2.4462434984792503
MIR518B	-4.7279891896861	1.9984014443252818e-15	-4.416565641266255	-3.2770911710750203	-5.01185579843695	-4.2952984110605	0.0	-4.61830078014788
MIR300	4.73499052037052	1.9984014443252818e-15	3.34606415888202	1.090859429825704	4.419427211110208	4.34547398041801	2.9909232485242767	0.0
ENSG00000238150	-2.943936263018992	-1.698644203989648	-2.49133397602302	-2.46824894272543	-1.9984014443252818e-15	0.0	-2.88643604918665	-1.6977339041940698
CCDC71L	-2.4035687967818995	-3.19464215499146	-3.58408601111652	-4.49410560680314	-4.573450967262639	-2.83693706008534	-1.15104482088032	-3.1142963167700497
MIR520B	-2.035388318854192	-6.574861778728739	-3.2608578247102202	-3.15930710602472	-2.686969636803449	-3.21441638358599	0.0	0.0
SNORD114-5	0.989703131127078	3.93366770673583	2.78537644789666	3.62059679959695	1.7077379581847478	0.0	1.020163894983247	0.0
THSD7B	-1.014391362311293	-1.698644203989648	-2.10504976407396	0.0	-2.99051335476106	-3.0438066518046702	0.0	-2.72460129826929
DSCAM	-3.19541123095027	-4.406918884306059	-2.200055700333994	-1.7079040334459301	-1.9984014443252818e-15	-3.63082236935552	-1.375705998485583	-1.871848267265209
MIR412	3.5660284100137702	3.11931848431659	0.0	2.13422967232722	-1.9984014443252818e-15	3.60768868735492	2.61841410747648	0.0
PEG3	-7.32308069506861	-7.180852008951461	0.726750625754166	-8.117415606626187	-1.1096466679517079	-9.42274855387098	0.0	-5.601749882504119
DSCAM-IT1	-2.02153356455809	-0.629258932611915	-2.10504976407396	-2.7370694550301202	-2.49357346339281	-3.21441638358599	-1.6468408526617502	0.0
MIR518D	-5.67192949768416	-1.698644203989648	-5.520702368267	-1.7079040334459301	-2.16149551368499	2.01862069161227	-5.447229869597	-4.24422354003315
MIR520F	0.0	1.9984014443252818e-15	0.0	-2.13759794302609	-6.45688158460589	-5.44110539862005	0.0	-2.12626764373802
MIR299	2.56775999612558	3.44451480626722	1.20777737096739	1.7048798041249	2.0494478865980517	1.6015260553481099	3.20557937687323	0.0
LINC02583	-4.31053178287171	-1.698644203989648	-4.484825083600961	-3.8911115453742164	-5.29320937706213	-4.87412518387487	0.0	0.0
PRKAG2	-0.7257213123856499	-2.53223243468205	-3.7534439931247703	-2.553354022639259	-3.8284958957504402	-3.808171117998091	-2.8937474147972493	-3.5130161685293197
MIR656	0.989703131127078	1.6767539375794902	2.64137502556831	1.090859429825704	-1.9984014443252818e-15	2.60563740022589	0.0	2.4462434984792503
